53780-34-0 CC(=O)Nc1cc([N-]S(=O)(=O)C(F)(F)F)c(C)cc1C
72178-02-0 CS(=O)(=O)[N-]C(=O)c1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+](=O)[O-]
7287-19-6 CSc1nc(NC(C)C)nc(NC(C)C)n1
15545-48-9 CN(C)C(=O)Nc1ccc(C)c(Cl)c1
94-81-5 Cc1cc(Cl)ccc1OCCCC(=O)[O-]
78-48-8 CCCCSP(=O)(SCCCC)SCCCC
57018-04-9 COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl
3481-20-7 Nc1c(Cl)c(Cl)cc(Cl)c1Cl
139-40-2 CC(C)Nc1nc(Cl)nc(NC(C)C)n1
10265-92-6 COP(=O)(N)SC
119-91-5 c1ccc2nc(ccc2c1)c3ccc4ccccc4n3
50-65-7 [O-]c1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-]
534-52-1 Cc1cc(cc(c1[O-])[N+](=O)[O-])[N+](=O)[O-]
732-11-6 COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O
58-90-2 [O-]c1c(Cl)cc(Cl)c(Cl)c1Cl
879-39-0 [O-][N+](=O)c1cc(Cl)c(Cl)c(Cl)c1Cl
60168-88-9 OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl
2307-68-8 CCCC(C)C(=O)Nc1ccc(C)c(Cl)c1
72-20-8 ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
104-04-1 CC(=O)Nc1ccc(cc1)[N+](=O)[O-]
111-76-2 CCCCOCCO
64902-72-3 COc1nc(C)nc(NC(=O)[N-]S(=O)(=O)c2ccccc2Cl)n1
150-68-5 CN(C)C(=O)Nc1ccc(Cl)cc1
56-04-2 Cc1cc(O)nc([S-])n1
1836-75-5 [O-][N+](=O)c1ccc(Oc2ccc(Cl)cc2Cl)cc1
1698-60-8 NC1=C(Cl)C(=O)N(N=C1)c2ccccc2
64-10-8 NC(=O)Nc1ccccc1
64-17-5 CCO
21609-90-5 COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c2ccccc2
2631-37-0 CNC(=O)Oc1cc(C)cc(c1)C(C)C
139-65-1 Nc1ccc(Sc2ccc(N)cc2)cc1
57-55-6 CC(O)CO
85-44-9 O=C1OC(=O)c2ccccc12
98-95-3 [O-][N+](=O)c1ccccc1
23950-58-5 CC(C)(NC(=O)c1cc(Cl)cc(Cl)c1)C#C
351-36-0 CC(=O)Nc1cccc(c1)C(F)(F)F
79-00-5 ClCC(Cl)Cl
2310-17-0 CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12
92-24-0 c1ccc2cc3cc4ccccc4cc3cc2c1
533-17-5 CC(=O)Nc1ccccc1Cl
2675-77-6 COc1cc(Cl)c(OC)cc1Cl
957-51-7 CN(C)C(=O)C(c1ccccc1)c2ccccc2
100-66-3 COc1ccccc1
103-33-3 c1ccc(cc1)N=Nc2ccccc2
39300-45-3 CCCCCCC(C)c1cc(cc(c1OC(=O)\C=C\C)[N+](=O)[O-])[N+](=O)[O-]
91-57-6 Cc1ccc2ccccc2c1
68085-85-8 CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
101-05-3 Clc1ccccc1Nc2nc(Cl)nc(Cl)n2
56-49-5 Cc1ccc2cc3c(ccc4ccccc34)c5CCc1c25
62-73-7 COP(=O)(OC)OC=C(Cl)Cl
4901-51-3 [O-]c1cc(Cl)c(Cl)c(Cl)c1Cl
3766-81-2 CCC(C)c1ccccc1OC(=O)NC
34256-82-1 CCOCN(C(=O)CCl)c1c(C)cccc1CC
57966-95-7 CCNC(=O)NC(=O)\C(=N\OC)\C#N
619-80-7 NC(=O)c1ccc(cc1)[N+](=O)[O-]
50-32-8 c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45
55290-64-7 CC1=C(C)S(=O)(=O)CCS1(=O)=O
41394-05-2 CC1=NN=C(C(=O)N1N)c2ccccc2
75-99-0 CC(Cl)(Cl)C(=O)[O-]
