2840-28-0 Nc1cc(ccc1Cl)C(=O)[O-]
93-82-3 CCCCCCCCCCCCCCCCCC(=O)N(CCO)CCO
452-58-4 Nc1cccnc1N
541-41-3 CCOC(=O)Cl
86-55-5 [O-]C(=O)c1cccc2ccccc12
626-43-7 Nc1cc(Cl)cc(Cl)c1
1726-23-4 CCCCOC(=O)c1ccc(C(=O)OCCCC)c(c1)C(=O)OCCCC
57-13-6 NC(=O)N
540-84-1 CC(C)CC(C)(C)C
629-54-9 CCCCCCCCCCCCCCCC(=O)N
540-49-8 Br\C=C\Br
1073-72-9 CSc1ccc(O)cc1
111-70-6 CCCCCCCO
107-15-3 NCC[NH3+]
110-00-9 o1cccc1
927-49-1 CCCCCC(=O)CCCCC
947-04-6 O=C1CCCCCCCCCCCN1
84-66-2 CCOC(=O)c1ccccc1C(=O)OCC
107-22-2 O=CC=O
67-52-7 O=C1CC(=O)[N-]C(=O)N1
108-10-1 CC(C)CC(=O)C
123-08-0 Oc1ccc(C=O)cc1
624-49-7 COC(=O)\C=C\C(=O)OC
629-50-5 CCCCCCCCCCCCC
590-90-9 CC(=O)CCO
120-95-6 CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC
26172-55-4 CN1SC(=CC1=O)Cl
2050-92-2 CCCCC[NH2+]CCCCC
101-84-8 O(c1ccccc1)c2ccccc2
90-51-7 Nc1ccc2cc(cc(O)c2c1)S(=O)(=O)[O-]
28623-46-3 CCCCCCCCCCCCCCCCCCC#N
90-94-8 CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C
120-51-4 O=C(OCc1ccccc1)c2ccccc2
2216-51-5 CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
79-41-4 CC(=C)C(=O)[O-]
1758-73-2 NC(=[NH2+])S(=O)[O-]
96-33-3 COC(=O)C=C
334-48-5 CCCCCCCCCC(=O)[O-]
25395-31-7 CC(=O)OCC(CO)OC(=O)C
2219-82-1 Cc1cccc(c1O)C(C)(C)C
495-69-2 [O-]C(=O)CNC(=O)c1ccccc1
373-44-4 [NH3+]CCCCCCCC[NH3+]
63-91-2 [NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
95-53-4 Cc1ccccc1N
122-04-3 [O-][N+](=O)c1ccc(cc1)C(=O)Cl
77-99-6 CCC(CO)(CO)CO
1200-14-2 CCCCc1ccc(C=O)cc1
62-56-6 NC(=S)N
16691-43-3 Nc1n[nH]c(S)n1
122-14-5 COP(=S)(OC)Oc1ccc(c(C)c1)[N+](=O)[O-]
13936-21-5 CCCCCc1ccc2C(=O)c3ccccc3C(=O)c2c1
84-61-7 O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3
693-54-9 CCCCCCCCC(=O)C
579-75-9 COc1ccccc1C(=O)[O-]
91-16-7 COc1ccccc1OC
93-46-9 N(c1ccc([NH2+]c2ccc3ccccc3c2)cc1)c4ccc5ccccc5c4
2528-38-3 CCCCCOP(=O)(OCCCCC)OCCCCC
91-15-6 N#Cc1ccccc1C#N
1939-99-7 ClS(=O)(=O)Cc1ccccc1
70-30-4 Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
51-79-6 CCOC(=O)N
99-06-9 Oc1cccc(c1)C(=O)[O-]
120-12-7 c1ccc2cc3ccccc3cc2c1
56-85-9 NC(=O)CC[C@H]([NH3+])C(=O)[O-]
19780-16-6 CCCCCCCCCCCCCCCCCCC1CO1
134-32-7 Nc1cccc2ccccc12
75-98-9 CC(C)(C)C(=O)[O-]
544-01-4 CC(C)CCOCCC(C)C
19438-60-9 CC1CCC2C(C1)C(=O)OC2=O
2885-00-9 CCCCCCCCCCCCCCCCCCS
130-15-4 O=C1C=CC(=O)c2ccccc12
95-57-8 Oc1ccccc1Cl
142-29-0 C1CC=CC1
4170-30-3 C\C=C\C=O
56-81-5 OCC(O)CO
50-78-2 CC(=O)Oc1ccccc1C(=O)[O-]
1570-64-5 Cc1cc(Cl)ccc1O
59756-60-4 C[NH+]1C=C(C(=O)C(=C1)c2cccc(c2)C(F)(F)F)c3ccccc3
107-11-9 [NH3+]CC=C
95-50-1 Clc1ccccc1Cl
335-67-1 [O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1114-71-2 CCCCN(CC)C(=O)SCCC
78-94-4 CC(=O)C=C
104-42-7 CCCCCCCCCCCCc1ccc(N)cc1
79-46-9 C[C-](C)[N+](=O)[O-]
872-50-4 CN1CCCC1=O
5428-54-6 Cc1ccc(cc1O)[N+](=O)[O-]
6674-22-2 C1CCN2CCC[NH+]=C2CC1
120-52-5 O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c3ccccc3
75-75-2 CS(=O)(=O)[O-]
88-98-2 [O-]C(=O)C1CC=CCC1C(=O)[O-]
30171-80-3 BrC(Br)c1ccccc1OCC2CO2
142-62-1 CCCCCC(=O)[O-]
67-72-1 ClC(Cl)(Cl)C(Cl)(Cl)Cl
527-84-4 CC(C)c1ccccc1C
25154-54-5 [O-][N+](=O)c1ccccc1[N+](=O)[O-]
1689-99-2 CCCCCCCC(=O)Oc1c(Br)cc(cc1Br)C#N
78-97-7 CC(O)C#N
107-87-9 CCCC(=O)C
108-94-1 O=C1CCCCC1
107-19-7 OCC#C
140-29-4 N#CCc1ccccc1
110-02-1 c1ccsc1
585-07-9 CC(=C)C(=O)OC(C)(C)C
7705-14-8 CC(=C)C1CCC(=CC1)C
