2498-66-0 O=C1c2ccccc2C(=O)c3c1ccc4ccccc34
3229-00-3 BrCC(CBr)(CBr)CBr
10319-14-9 [O-]c1c(Br)c2ccccc2nc1C3C(=O)c4ccccc4C3=O
577-11-7 CCCCC(CC)COC(=O)C[C-](C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
101-84-8 O(c1ccccc1)c2ccccc2
1141-38-4 [O-]C(=O)c1ccc2cc(ccc2c1)C(=O)[O-]
110-82-7 C1CCCCC1
2216-51-5 CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
91-58-7 Clc1ccc2ccccc2c1
3864-99-1 CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)n2nc3ccc(Cl)cc3n2
52918-63-5 CC1(C)[C@@H](C=C(Br)Br)[C@H]1C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2
120-54-7 S=C(SSSSC(=S)N1CCCCC1)N2CCCCC2
62-56-6 NC(=S)N
122-14-5 COP(=S)(OC)Oc1ccc(c(C)c1)[N+](=O)[O-]
2198-77-8 Clc1ccc2ccc(Cl)cc2c1
583-53-9 Brc1ccccc1Br
93-46-9 N(c1ccc([NH2+]c2ccc3ccccc3c2)cc1)c4ccc5ccccc5c4
91-15-6 N#Cc1ccccc1C#N
70-30-4 Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
117-81-7 CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
92-86-4 Brc1ccc(cc1)c2ccc(Br)cc2
108-90-7 Clc1ccccc1
134-32-7 Nc1cccc2ccccc12
75-98-9 CC(C)(C)C(=O)[O-]
544-01-4 CC(C)CCOCCC(C)C
118-44-5 CCNc1cccc2ccccc12
95-57-8 Oc1ccccc1Cl
33979-03-2 Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl
106-93-4 BrCCBr
3383-96-8 COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
299-84-3 COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
95-50-1 Clc1ccccc1Cl
90-30-2 N(c1ccccc1)c2cccc3ccccc23
29091-21-2 CCC[NH+](CCC)c1c(cc(c(N)c1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
1321-74-0 C=Cc1ccccc1C=C
5428-54-6 Cc1ccc(cc1O)[N+](=O)[O-]
120-52-5 O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c3ccccc3
99-08-1 Cc1cccc(c1)[N+](=O)[O-]
67-72-1 ClC(Cl)(Cl)C(Cl)(Cl)Cl
80-05-7 CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
80-43-3 CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2
5103-71-9 Cl[C@H]1C[C@H]2[C@@H]([C@H]1Cl)[C@]3(Cl)C(=C(Cl)[C@@]2(Cl)C3(Cl)Cl)Cl
106-37-6 Brc1ccc(Br)cc1
119-61-9 O=C(c1ccccc1)c2ccccc2
110-02-1 c1ccsc1
13116-53-5 ClCC(Cl)(Cl)CCl
123-91-1 C1COCCO1
5510-99-6 CCC(C)C1CCCC(C(C)CC)C1O
5124-25-4 [O-][N+](=O)c1cc(ccc1Nc2ccccc2)S(=O)(=O)Nc3ccccc3
132-64-9 o1c2ccccc2c3ccccc13
62-53-3 Nc1ccccc1
88-75-5 [O-]c1ccccc1[N+](=O)[O-]
108-45-2 Nc1cccc(N)c1
111-40-0 NCC[NH2+]CCN
100-80-1 Cc1cccc(C=C)c1
120-78-5 S(Sc1nc2ccccc2s1)c3nc4ccccc4s3
59669-26-0 CSC(=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC)C
462-08-8 Nc1cccnc1
144-19-4 CC(C)C(O)C(C)(C)CO
75-71-8 FC(F)(Cl)Cl
108-36-1 Brc1cccc(Br)c1
108-67-8 Cc1cc(C)cc(C)c1
59-50-7 Cc1cc(O)ccc1Cl
95-76-1 Nc1ccc(Cl)c(Cl)c1
90-12-0 Cc1cccc2ccccc12
61949-76-6 CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc2cccc(Oc3ccccc3)c2
555-03-3 COc1cccc(c1)[N+](=O)[O-]
108-42-9 Nc1cccc(Cl)c1
514-10-3 CC(C)C1=CC2=CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
76-83-5 ClC(c1ccccc1)(c2ccccc2)c3ccccc3
526-73-8 Cc1cccc(C)c1C
3811-49-2 COP1(=S)OCc2ccccc2O1
243-46-9 c1ccc2cc3c(cc2c1)sc4ccccc34
78-59-1 CC1=CC(=O)CC(C)(C)C1
492-97-7 c1csc(c1)c2cccs2
78-51-3 CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
634-90-2 Clc1cc(Cl)c(Cl)c(Cl)c1
92-69-3 Oc1ccc(cc1)c2ccccc2
4101-68-2 BrCCCCCCCCCCBr
88-72-2 Cc1ccccc1[N+](=O)[O-]
28106-30-1 CCc1ccccc1C=C
71-55-6 CC(Cl)(Cl)Cl
3296-90-0 OCC(CO)(CBr)CBr
2437-79-8 Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl
92-70-6 Oc1cc2ccccc2cc1C(=O)[O-]
95-56-7 Oc1ccccc1Br
76253-60-6 Clc1cccc(CC(Cl)(Cl)c2ccccc2)c1Cl
88-19-7 Cc1ccccc1S(=O)(=O)N
91-94-1 Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2
86-73-7 C1c2ccccc2c3ccccc13
99-62-7 CC(C)c1cccc(c1)C(C)C
128-37-0 Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
99-09-2 Nc1cccc(c1)[N+](=O)[O-]
95-78-3 Cc1ccc(C)c(N)c1
15258-73-8 OCc1c(Cl)cccc1Cl
554-84-7 Oc1cccc(c1)[N+](=O)[O-]
2173-57-1 CC(C)COc1ccc2ccccc2c1
99-65-0 [O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
99-54-7 [O-][N+](=O)c1ccc(Cl)c(Cl)c1
95-51-2 Nc1ccccc1Cl
4390-04-9 CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
6165-51-1 CC(c1ccccc1)c2cc(C)ccc2C
79-34-5 ClC(Cl)C(Cl)Cl
2636-26-2 COP(=S)(OC)Oc1ccc(cc1)C#N
75-15-0 S=C=S
510-15-6 CCOC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
89-63-4 Nc1ccc(Cl)cc1[N+](=O)[O-]
