CAS-Number,X%,EHOMO,Mor29u,NdsCH,GATS1e,X3A,1/T,SdsCH,nR=Cp,F02[F-Br],RDF015m,BIC1,SpMin8_Bh(p),NssssC
000098-55-5,0,-0.23054,-0.964,1,1.007,0.203,0.003356 ,2.256,0,0,9.1,0.512,0.453,1
000098-95-3,0,-0.29234,0.02,0,0.193,0.216,0.003356 ,0,0,0,3.023,0.472,0,0
000099-86-5,0,-0.20351,-0.893,2,1.25,0.215,0.003378 ,4.53,0,0,7.542,0.471,0.281,0
000100-41-4,0,-0.24616,-0.251,0,1.063,0.23,0.003356 ,0,0,0,3.898,0.509,0,0
000100-52-7,0,-0.26976,-0.035,1,0.464,0.23,0.003356 ,0.833,0,0,2.997,0.449,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.003140 ,0,0,0,2.946,0.53,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.002594 ,0,0,0,2.946,0.53,0,0
000100-66-3,0,-0.22893,-0.031,0,0.85,0.23,0.002370 ,0,0,0,2.946,0.53,0,0
000101-55-3,4.3,-0.23295,0.124,0,0.753,0.206,0.002890 ,0,0,0,4.518,0.399,0.133,0
000101-84-8,0,-0.23025,0.184,0,0.823,0.206,0.003367 ,0,0,0,4.55,0.315,0.133,0
000101-84-8,0,-0.23025,0.184,0,0.823,0.206,0.002924 ,0,0,0,4.55,0.315,0.133,0
000103-65-1,0,-0.24731,-0.2,0,1.111,0.22,0.003356 ,0,0,0,4.776,0.513,0.029,0
000105-46-4,0,-0.27432,-0.637,0,0.71,0.262,0.003356 ,0,0,0,5.063,0.479,0,0
000106-36-5,0,-0.28116,-0.786,0,0.71,0.291,0.003356 ,0,0,0,4.941,0.479,0,0
000106-47-8,7.1,-0.21705,-0.075,0,0.82,0.23,0.003356 ,0,0,0,2.399,0.617,0,0
000106-93-4,25,-0.29301,-0.249,0,0.511,0.5,0.003356 ,0,0,0,0.994,0.534,0,0
000106-94-5,9.1,-0.27823,-0.383,0,0.553,0.5,0.003676 ,0,0,0,1.846,0.504,0,0
000106-94-5,9.1,-0.27823,-0.383,0,0.553,0.5,0.002083 ,0,0,0,1.846,0.504,0,0
000106-97-8,0,-0.32504,-0.582,0,1.75,0.5,0.003356 ,0,0,0,2.702,0.31,0,0
000106-97-8,0,-0.32504,-0.582,0,1.75,0.5,0.002941 ,0,0,0,2.702,0.31,0,0
000106-98-9,0,-0.26291,-0.32,1,1.5,0.5,0.003356 ,1.875,1,0,1.929,0.62,0,0
