CAS #,X1sol/T,Mor13v/T,H050/T,R5v/T,TO..Cl/T,HATS5v/T,RDF035m/T,RCl/T,nCOOR/T,Mor15u/T,RDF90m/T,1/T
055720-41-7,0.025983565,-0.00119403,0,0.000556767,0,0.001931913,0.001401979,0.004796244,0,0.000811672,0,0.003354016
053555-63-8,0.026040584,-0.001355023,0,0.000436022,0,0.001633406,0.001344961,0.004796244,0,0.000519873,0,0.003354016
000087-61-6,0.017041758,-0.000224719,0,5.03E-05,0,0.000214657,0.000711051,0.004695623,0,-0.00073453,0,0.003354016
000087-61-6,0.019308379,-0.000254608,0,5.70E-05,0,0.000243207,0.000805624,0.00532016,0,-0.000832225,0,0.003800114
000087-61-6,0.018601501,-0.000245286,0,5.49E-05,0,0.000234303,0.00077613,0.005125389,0,-0.000801757,0,0.003660992
000087-61-6,0.017944552,-0.000236624,0,5.30E-05,0,0.000226029,0.00074872,0.004944376,0,-0.000773442,0,0.003531697
000087-61-6,0.017332424,-0.000228552,0,5.12E-05,0,0.000218318,0.000723179,0.004775712,0,-0.000747058,0,0.003411223
050402-52-3,0.023692772,-0.001187322,0,0.000332048,0,0.001167198,0.001509307,0.004762703,0,0.000737884,0,0.003354016
090948-28-0,0.030729499,-0.001049807,0,0.000680865,0,0.002827436,0.000620493,0.004796244,0,0.000674157,0,0.003354016
090948-28-0,0.031253624,-0.001067713,0,0.000692478,0,0.002875661,0.000631076,0.004878049,0,0.000685656,0,0.003411223
090948-28-0,0.030222662,-0.001032492,0,0.000669635,0,0.002780802,0.000610259,0.004717137,0,0.000663038,0,0.003298697
090948-28-0,0.029257544,-0.000999521,0,0.000648252,0,0.002692001,0.000590771,0.004566502,0,0.000641865,0,0.003193358
090948-28-0,0.028352158,-0.00096859,0,0.000628191,0,0.002608696,0.00057249,0.00442519,0,0.000622002,0,0.003094538
150224-19-4,0.028328023,-0.001086701,0,0.000647325,0,0.002331041,0.001059869,0.004796244,0,0.00049304,0,0.003354016
150224-19-4,0.029828713,-0.00114427,0,0.000681618,0,0.002454529,0.001116016,0.005050327,0,0.000519159,0,0.003531697
150224-19-4,0.028811189,-0.001105236,0,0.000658366,0,0.0023708,0.001077946,0.004878049,0,0.00050145,0,0.003411223
150224-19-4,0.027860795,-0.001068778,0,0.000636649,0,0.002292594,0.001042388,0.004717137,0,0.000484908,0,0.003298697
150224-19-4,0.0269711,-0.001034648,0,0.000616318,0,0.002219384,0.001009101,0.004566502,0,0.000469424,0,0.003193358
