CAS NO.,MLOGP2,F02[C-Cl],nROH,P-117,Mor25m,N%,X4v,O-058,LLS_01,H4v,SM12_AEA(dm),O-057
000100-40-3,7.003,0,0,0,-0.134,0,1.031,0,1,0.019,2.136,0
000100-41-4,8.653,0,0,0,0.118,0,0.714,0,1,0.017,2.136,0
000100-42-5,8.13,0,0,0,0.219,0,0.589,0,1,0.034,2.136,0
000100-61-8,3.456,0,0,0,0.291,5.9,0.605,0,1,0.031,2.136,0
000100-80-1,10.039,0,0,0,0.154,0,0.797,0,0.83,0.058,2.601,0
000101-14-4,14.759,4,0,0,0.52,6.9,2.003,0,0.67,0.239,6.982,0
000101-53-1,11.552,0,0,0,0.325,0,1.445,0,0.83,0.104,5.476,1
000101-81-5,17.204,0,0,0,0.284,0,1.427,0,0.83,0.062,3.216,0
000101-84-8,11.526,0,0,0,0.658,0,1.113,0,0.83,0.046,3.216,0
000102-06-7,9.538,0,0,0,0.514,10.3,1.363,0,0.67,0.156,5.078,0
000102-70-5,5.026,0,0,0,-0.136,4,0.771,0,0.83,0.106,2.117,0
000102-82-9,12.02,0,0,0,-0.156,2.5,1.481,0,0.67,0.197,2.867,0
000103-44-6,7.559,0,0,0,0.007,0,1.102,0,0.83,0.162,2.343,0
000103-50-4,11.522,0,0,0,0.484,0,1.435,0,0.67,0.178,3.344,0
000103-69-5,4.808,0,0,0,0.323,5,0.76,0,1,0.051,2.136,0
000104-43-8,33.866,0,0,0,-0.053,0,2.479,0,0.67,0.407,3.848,1
000104-88-1,5.618,2,0,0,0.264,0,0.667,1,1,0.033,2.275,0
000105-05-5,12.69,0,0,0,0.058,0,1.011,0,0.83,0.155,2.275,0
000105-06-6,11.465,0,0,0,0.184,0,0.768,0,0.83,0.125,2.275,0
000106-37-6,14.401,0,0,0,0.341,0,0.958,0,0.83,0,2.275,0
000106-41-2,5.272,0,0,0,0.368,0,0.705,0,1,0.01,2.275,1
000106-42-3,8.653,0,0,0,0.091,0,0.637,0,1,0.051,2.275,0
000106-43-4,10.302,2,0,0,0.176,0,0.659,0,0.83,0.017,2.275,0
000106-47-8,4.525,2,0,0,0.247,7.1,0.589,0,1,0.016,2.275,0
000106-48-9,4.525,2,0,0,0.278,0,0.567,0,1,0.01,2.275,1
000106-93-4,4.957,0,0,0,-0.593,0,0,0,1,0,-2,0
000107-02-8,0.009,0,0,0,-0.001,0,0,1,1,0.011,-2,0
000107-06-2,3.301,2,0,0,-0.039,0,0,0,1,0,-2,0
000107-13-1,0.009,0,0,0,0.068,14.3,0,0,1,0,-2,0
000107-39-1,9.896,0,0,0,-0.079,0,0.905,0,0.83,0.103,-1.029,0
000108-36-1,14.401,0,0,0,-0.218,0,1.566,0,0.83,0,2.57,0
000108-42-9,4.525,2,0,0,0.328,7.1,0.705,0,1,0.016,2.57,0
000108-43-0,4.525,2,0,0,0.298,0,0.661,0,1,0.011,2.57,1
000108-45-2,0.798,0,0,0,0.403,12.5,0.559,0,0.83,0.033,2.57,0
000108-57-6,11.465,0,0,0,0.178,0,0.813,0,0.83,0.089,2.64,0
000108-67-8,10.62,0,0,0,0.052,0,1.202,0,0.83,0.064,4.963,0
000108-70-3,16.507,6,0,0,0.219,0,1.393,0,0.83,0,4.963,0
000108-78-1,0,0,0,0,0.222,40,0.427,0,0.5,0,4.963,0
000108-80-5,0,0,0,0,0.283,25,0.343,0,0.67,0,4.963,3
000108-87-2,12.092,0,0,0,-0.165,0,1.307,0,0.83,0.083,2.136,0
000108-88-3,6.802,0,0,0,0.168,0,0.534,0,1,0.017,2.136,0
000108-90-7,8.272,2,0,0,0.252,0,0.56,0,1,0,2.136,0
000108-95-2,2.268,0,0,0,0.302,0,0.428,0,1,0.011,2.136,1
000109-69-3,4.957,1,0,0,-0.068,0,0.401,0,1,0.055,-0.732,0
000110-00-9,0.024,0,0,0,0.123,0,0.227,0,1,0,1.236,0
000110-02-1,1.375,0,0,0,-0.111,0,0.68,0,1,0,1.236,0
000110-82-7,9.76,0,0,0,-0.108,0,1.061,0,0.83,0.051,2,0
000110-91-8,0.224,0,0,0,0.006,6.7,0.516,0,1,0.026,2,0
000110-98-5,0.017,0,2,0,0.07,0,0.409,0,0.83,0.079,2,0
000111-40-0,0.84,0,0,0,-0.058,15,0.329,0,0.5,0.081,0.586,0
