CAS,nN,nHM,O%,MATS1e,GATS1p,GATS7p,GGI1,GGI2,nCq,nCrt,C-040,H-048,H-051,O-059
000094-75-7,0,2,15.8,-0.144,0.743,1.228,3.5,1.556,0,0,1,0,0,0
004433-79-8,1,1,12.5,-0.068,1.164,0.968,5,2,0,0,1,0,5,0
030171-80-3,0,2,8.3,-0.035,0.685,1.214,2.5,1.611,0,0,0,1,0,1
000058-90-2,0,4,7.7,-0.188,0.34,0,3,2.222,0,0,0,0,0,0
000120-52-5,2,0,10,0.16,0.922,1.043,4,2.667,0,0,2,0,0,0
025155-25-3,0,0,6.9,0.428,1.421,0.437,10.5,4.222,0,0,0,0,0,0
000108-98-5,0,1,0,-0.139,0.911,0,1,0.444,0,0,0,0,0,0
001073-72-9,0,1,0,-0.11,0.948,0,2,0.889,0,0,0,0,0,0
000089-98-5,0,1,7.1,0,0.73,0,1.5,1.111,0,0,0,0,0,0
000083-38-5,0,2,7.1,0,0.609,0,2,1.556,0,0,0,0,0,0
000134-62-3,1,0,3.2,0.028,1.283,1.264,3,1.778,0,0,1,0,0,0
000094-51-9,0,0,10.6,-0.012,1.224,1.097,2.5,2,0,0,2,0,0,1
002840-28-0,1,1,11.8,-0.046,0.77,0,2,1.333,0,0,1,0,0,0
002082-79-3,0,0,3,-0.004,1.408,1.127,8,3.333,2,0,1,0,2,0
000626-17-5,2,0,0,0,0.787,0,2,0.667,0,0,2,0,0,0
001897-45-6,2,4,0,0,0.467,0,3,2.667,0,0,2,0,0,0
000088-19-7,1,1,10,0.124,1.318,0,3.5,1.778,0,0,0,0,0,0
000063-74-1,2,1,10.5,-0.006,1.242,0.123,4,1.778,0,0,0,0,0,0
000080-09-1,0,1,14.8,-0.029,1.057,0.778,5,3.111,0,0,0,0,0,0
000097-39-2,3,0,0,-0.123,0.964,0.708,3.5,2,0,0,0,0,0,0
002655-14-3,1,0,7.7,-0.038,1.254,0.682,4,0.889,0,0,0,0,0,0
000584-84-9,2,0,10.5,-0.04,1.055,1.697,2.5,1.333,0,0,2,0,0,0
001678-91-7,0,0,0,0,1.438,0,1,0.444,0,1,0,0,0,0
000111-78-4,0,0,0,0,1.188,0,0,0,0,0,0,0,0,0
004904-61-4,0,0,0,0,1.208,0,0,0,0,0,0,0,0,0
000608-73-1,0,6,0,0,0.53,0,3,2.667,0,0,0,0,0,0
000538-75-0,2,0,0,0.087,1.36,1.261,1.5,0.667,0,0,1,0,0,0
002579-20-6,2,0,0,-0.221,1.333,0.076,2,0.667,0,2,0,0,0,0
