CAS No.,nN,ATSC8v,SpMaxA_G/D,Mor16u,nROH,O-058,P-117,MLOGP2,Molecular Polarizability
003060-89-7,2.000 ,3.639 ,0.983 ,0.035 ,0.000 ,1.000 ,0.000 ,5.007 ,210.290 
003148-09-2,0.000 ,26.034 ,0.893 ,-0.396 ,1.000 ,3.000 ,0.000 ,3.363 ,438.640 
003337-71-1,2.000 ,2.675 ,0.968 ,0.709 ,0.000 ,3.000 ,0.000 ,0.067 ,198.230 
003383-96-8,0.000 ,8.783 ,0.955 ,0.230 ,0.000 ,0.000 ,0.000 ,11.048 ,429.500 
003424-82-6,0.000 ,2.741 ,1.027 ,0.699 ,0.000 ,0.000 ,0.000 ,34.268 ,300.020 
003478-94-2,1.000 ,6.401 ,0.954 ,0.133 ,0.000 ,1.000 ,0.000 ,16.456 ,301.790 
003481-20-7,1.000 ,0.000 ,1.105 ,0.037 ,0.000 ,0.000 ,0.000 ,13.085 ,177.630 
003597-91-9,0.000 ,2.331 ,1.017 ,0.090 ,1.000 ,0.000 ,0.000 ,9.802 ,219.230 
003766-81-2,1.000 ,4.442 ,0.919 ,0.630 ,0.000 ,1.000 ,0.000 ,5.716 ,206.950 
003813-05-6,1.000 ,0.631 ,1.037 ,0.090 ,1.000 ,2.000 ,0.000 ,2.555 ,208.160 
004090-00-0,1.000 ,1.709 ,0.960 ,0.041 ,0.000 ,1.000 ,0.000 ,3.179 ,157.870 
004147-51-7,5.000 ,9.392 ,0.963 ,0.879 ,0.000 ,0.000 ,0.000 ,10.142 ,264.950 
004684-94-0,1.000 ,0.000 ,1.037 ,0.179 ,1.000 ,1.000 ,0.000 ,0.548 ,126.220 
004780-79-4,0.000 ,0.151 ,1.016 ,0.389 ,1.000 ,0.000 ,0.000 ,7.078 ,189.430 
004901-51-3,0.000 ,0.000 ,1.120 ,0.071 ,0.000 ,0.000 ,0.000 ,13.085 ,167.200 
005221-53-4,3.000 ,4.381 ,0.954 ,0.827 ,0.000 ,0.000 ,0.000 ,6.182 ,215.350 
005259-88-1,1.000 ,5.255 ,1.005 ,0.250 ,0.000 ,3.000 ,0.000 ,0.315 ,253.670 
005345-54-0,1.000 ,0.889 ,1.009 ,-0.003 ,0.000 ,0.000 ,0.000 ,3.415 ,147.160 
005436-43-1,0.000 ,2.921 ,1.043 ,-0.076 ,0.000 ,0.000 ,0.000 ,29.732 ,314.670 
005598-13-0,1.000 ,3.331 ,1.035 ,0.087 ,0.000 ,0.000 ,0.000 ,7.458 ,244.440 
005902-51-2,2.000 ,3.237 ,0.978 ,0.355 ,0.000 ,2.000 ,0.000 ,2.725 ,186.280 
005915-41-3,5.000 ,4.151 ,0.959 ,0.466 ,0.000 ,0.000 ,0.000 ,8.371 ,215.390 
006422-86-2,0.000 ,16.667 ,0.870 ,1.510 ,0.000 ,2.000 ,0.000 ,29.446 ,391.560 
006515-38-4,1.000 ,0.000 ,1.106 ,-0.072 ,0.000 ,1.000 ,0.000 ,4.536 ,146.760 
006795-23-9,0.000 ,5.766 ,1.026 ,-0.332 ,1.000 ,2.000 ,0.000 ,1.250 ,322.650 
006933-10-4,1.000 ,0.000 ,1.024 ,0.159 ,0.000 ,0.000 ,0.000 ,6.870 ,153.630 
006988-21-2,1.000 ,3.428 ,0.931 ,-0.026 ,0.000 ,1.000 ,0.000 ,0.634 ,194.570 
007012-37-5,0.000 ,0.783 ,1.061 ,0.352 ,0.000 ,0.000 ,0.000 ,29.937 ,247.320 
007159-34-4,1.000 ,0.000 ,1.060 ,0.391 ,0.000 ,0.000 ,0.000 ,10.112 ,194.780 
007160-01-2,2.000 ,2.704 ,0.980 ,0.203 ,0.000 ,1.000 ,0.000 ,3.306 ,189.270 
007160-02-3,2.000 ,3.062 ,0.972 ,-0.122 ,0.000 ,1.000 ,0.000 ,1.635 ,194.790 
007241-98-7,0.000 ,6.958 ,1.024 ,-0.345 ,0.000 ,2.000 ,0.000 ,4.040 ,322.180 
007286-84-2,1.000 ,1.800 ,1.034 ,0.023 ,0.000 ,1.000 ,0.000 ,6.877 ,187.540 
007287-19-6,5.000 ,7.811 ,0.961 ,0.720 ,0.000 ,0.000 ,0.000 ,8.371 ,248.510 
007786-34-7,0.000 ,1.199 ,0.950 ,-0.379 ,0.000 ,2.000 ,1.000 ,0.570 ,165.200 
008001-35-2,0.000 ,0.000 ,1.066 ,-0.035 ,0.000 ,0.000 ,0.000 ,31.513 ,286.600 
009006-42-2,5.000 ,5.969 ,0.998 ,0.871 ,0.000 ,0.000 ,0.000 ,2.184 ,535.750 
010061-02-6,0.000 ,0.000 ,1.030 ,-0.168 ,0.000 ,0.000 ,0.000 ,4.332 ,75.650 
010265-92-6,1.000 ,0.000 ,1.025 ,0.127 ,0.000 ,1.000 ,1.000 ,1.493 ,106.100 
010548-10-4,0.000 ,6.250 ,1.016 ,0.024 ,0.000 ,0.000 ,0.000 ,1.640 ,290.360 
012122-67-7,2.000 ,0.167 ,1.021 ,0.266 ,0.000 ,0.000 ,0.000 ,0.111 ,266.900 
012771-68-5,2.000 ,3.413 ,0.961 ,0.302 ,1.000 ,0.000 ,0.000 ,3.291 ,258.550 
013029-08-8,0.000 ,1.158 ,1.044 ,0.706 ,0.000 ,0.000 ,0.000 ,24.476 ,222.640 
013114-87-9,2.000 ,0.376 ,0.993 ,0.320 ,0.000 ,1.000 ,0.000 ,3.749 ,153.830 
013140-86-8,2.000 ,3.556 ,1.012 ,0.503 ,0.000 ,1.000 ,0.000 ,2.034 ,185.750 
013140-89-1,2.000 ,5.685 ,1.009 ,0.117 ,0.000 ,1.000 ,0.000 ,3.995 ,214.660 
013194-48-4,0.000 ,6.645 ,0.942 ,0.173 ,0.000 ,1.000 ,1.000 ,4.244 ,227.110 
013286-32-3,0.000 ,6.818 ,0.940 ,0.692 ,0.000 ,1.000 ,1.000 ,5.053 ,243.410 
013360-45-7,2.000 ,3.853 ,0.994 ,-0.052 ,0.000 ,1.000 ,0.000 ,7.794 ,227.950 
013684-63-4,2.000 ,6.114 ,0.984 ,0.793 ,0.000 ,2.000 ,0.000 ,4.354 ,304.510 
014255-72-2,0.000 ,8.274 ,0.982 ,0.581 ,0.000 ,2.000 ,0.000 ,3.665 ,281.290 
015299-99-7,1.000 ,8.602 ,0.920 ,0.215 ,0.000 ,1.000 ,0.000 ,9.613 ,297.620 
015545-48-9,2.000 ,3.122 ,0.990 ,0.253 ,0.000 ,1.000 ,0.000 ,5.654 ,206.770 
015968-05-5,0.000 ,1.423 ,1.065 ,0.593 ,0.000 ,0.000 ,0.000 ,35.867 ,259.610 
015972-60-8,1.000 ,7.759 ,0.916 ,-0.082 ,0.000 ,1.000 ,0.000 ,10.127 ,256.520 
016752-77-5,2.000 ,2.070 ,0.982 ,0.206 ,0.000 ,1.000 ,0.000 ,0.003 ,140.560 
017804-35-2,4.000 ,7.713 ,0.934 ,0.805 ,0.000 ,2.000 ,0.000 ,2.760 ,283.580 
017924-92-4,0.000 ,13.524 ,0.948 ,0.688 ,0.000 ,2.000 ,0.000 ,7.860 ,310.570 
018691-97-9,3.000 ,2.949 ,1.030 ,0.493 ,0.000 ,1.000 ,0.000 ,3.016 ,233.560 
019044-88-3,4.000 ,6.784 ,0.956 ,0.721 ,0.000 ,2.000 ,0.000 ,3.842 ,327.090 
019095-79-5,2.000 ,7.261 ,0.989 ,0.444 ,0.000 ,1.000 ,0.000 ,6.422 ,245.680 
019937-59-8,2.000 ,3.551 ,0.979 ,0.005 ,0.000 ,1.000 ,0.000 ,3.378 ,213.520 
020354-26-1,2.000 ,1.665 ,1.050 ,0.339 ,0.000 ,2.000 ,0.000 ,6.073 ,211.880 
020782-57-4,2.000 ,2.290 ,0.959 ,-0.075 ,0.000 ,1.000 ,0.000 ,2.392 ,192.910 
021087-64-9,4.000 ,2.416 ,0.973 ,0.078 ,0.000 ,1.000 ,0.000 ,2.556 ,208.570 
021259-20-1,0.000 ,24.586 ,0.904 ,0.255 ,1.000 ,3.000 ,0.000 ,2.529 ,398.040 
021609-90-5,0.000 ,6.131 ,1.028 ,0.151 ,0.000 ,0.000 ,0.000 ,21.339 ,342.600 
022175-22-0,2.000 ,1.824 ,0.976 ,0.145 ,0.000 ,1.000 ,0.000 ,4.353 ,188.050 
022224-92-6,1.000 ,11.283 ,0.949 ,0.344 ,0.000 ,1.000 ,1.000 ,14.039 ,283.280 
022248-79-9,0.000 ,4.447 ,0.964 ,0.064 ,0.000 ,1.000 ,1.000 ,19.896 ,275.590 
023103-98-2,4.000 ,7.133 ,0.939 ,0.368 ,0.000 ,1.000 ,0.000 ,2.717 ,229.210 
023135-22-0,3.000 ,2.579 ,0.948 ,-0.178 ,0.000 ,2.000 ,0.000 ,0.214 ,187.930 
023184-66-9,1.000 ,14.898 ,0.909 ,-0.093 ,0.000 ,0.000 ,0.000 ,16.023 ,308.350 
023564-05-8,4.000 ,4.261 ,0.943 ,0.295 ,0.000 ,2.000 ,0.000 ,0.026 ,329.950 
023950-58-5,1.000 ,4.221 ,0.978 ,0.292 ,0.000 ,1.000 ,0.000 ,14.486 ,236.720 
024691-80-3,1.000 ,3.875 ,0.998 ,0.744 ,0.000 ,1.000 ,0.000 ,2.864 ,213.060 
025057-89-0,2.000 ,2.959 ,1.017 ,0.606 ,0.000 ,3.000 ,0.000 ,2.416 ,216.530 
025277-05-8,2.000 ,0.968 ,0.974 ,-0.072 ,0.000 ,1.000 ,0.000 ,1.545 ,177.880 
025311-71-1,1.000 ,14.977 ,0.945 ,0.537 ,0.000 ,1.000 ,0.000 ,9.442 ,326.480 
026225-79-6,0.000 ,5.090 ,0.971 ,-0.054 ,0.000 ,2.000 ,0.000 ,2.786 ,252.150 
026259-45-0,5.000 ,6.953 ,0.938 ,0.531 ,0.000 ,0.000 ,0.000 ,6.387 ,217.720 
